X,Y,OBJECTID,SAP_FUNC_LOC,SAP_DESCRIPTION,SAP_INVENTORY_NUMBER,SAP_OBJECT_TYPE,Angle,FL_DESC,GlobalID
-2.25204111170035,51.341337689612359,2826,KA-106-010,Bridge 172 Bradford On Avon Bridge,KA-10594,003,324.56812991,KA-106-010 Bridge 172 Bradford On Avon Bridge,b907ff99-7e50-4e57-bf90-3c3f6867a877
-2.266085456395591,51.342103491959939,2827,KA-107-001,"Bridge 173, Bradford On Avon Swingbridg",KA-10696,002,225.11831097,"KA-107-001 Bridge 173, Bradford On Avon Swingbridg",b5f81d5d-1bfe-4064-aed8-a50dcd582895
-2.291570194780435,51.340597999098442,2828,KA-109-001,Bridge 174 Winsley Bridge,KA-10913,002,345.50186386,KA-109-001 Bridge 174 Winsley Bridge,7528b291-5920-497f-921e-561e9166dce1
-2.311786338278406,51.349900179487506,2829,KA-111-003,"Bridge 175, Limpley Stoke Bridge",KA-11113,003,192.50630235,"KA-111-003 Bridge 175, Limpley Stoke Bridge",18a2d0be-7de1-4740-9d8e-006bc14b5928
-2.30710575542374,51.367715899632415,2830,KA-113-009,Bridge 178 Millbrook Swingbridge,KA-11336,002,195.58666875,KA-113-009 Bridge 178 Millbrook Swingbridge,fad37569-72a6-4038-9c45-629e5fe4fbfd
-2.306678141178805,51.381000378306048,2831,KA-115-004,"Bridge 181, Hardings Bridge",KA-11511,002,297.4406602,"KA-115-004 Bridge 181, Hardings Bridge",5441d2e0-bc48-42de-8f78-4b9137f7eb83
-2.320871077103534,51.39675282339072,2832,KA-117-011,"Bridge 183, Bathampton Road",KA-11758,003,245.88343038,"KA-117-011 Bridge 183, Bathampton Road",2f700434-8e9c-481b-9dec-09d44855392f
-2.332699156720284,51.394254671216451,2833,KA-118-003,"Bridge 184, Candys Bridge",KA-11845,002,239.35619151,"KA-118-003 Bridge 184, Candys Bridge",9d39d177-5d2c-419c-a6ba-1995f05ab4bf
-2.341153469557081,51.391640132313064,2834,KA-119-001,"Bridge 185, Folly Footbridge",KA-11909,004,335.12866362,"KA-119-001 Bridge 185, Folly Footbridge",300d57cf-e535-4fb1-9f98-3dbdfde6c20c
-2.348134634261135,51.386821420633325,2835,KA-120-002,Bridge 186 Sydney Gardens Iron Footbridg,KA-11981,046,358.10549033,KA-120-002 Bridge 186 Sydney Gardens Iron Footbridg,c37bb4f6-9502-4987-b20a-d40c53a04ef7
-2.348108095332718,51.386363729383739,2836,KA-120-003,"Bridge 187, Sydney Gardens Footbridge",KA-11984,046,358.10549033,"KA-120-003 Bridge 187, Sydney Gardens Footbridge",b524ae84-e769-4969-9038-6c79926d7227
-2.358382284442345,51.377254558690659,2837,KA-121-018,"Bridge 196, Skew Railway Bridge",KA-12166,129,284.33035698,"KA-121-018 Bridge 196, Skew Railway Bridge",175ca375-917c-40ad-b451-d3f4b448b736
-2.349422376407444,51.378753204344846,2838,KA-121-008,"Bridge 190, Horse Shoe Walk Bridge",KA-12082,003,222.06948173,"KA-121-008 Bridge 190, Horse Shoe Walk Bridge",b9cdc5fd-b15f-454c-9a2d-8ea21520734a
-2.353566356017061,51.377072324015693,2839,KA-121-013,"Bridge 193, Rossiter Road",KA-12118,003,279.35590871,"KA-121-013 Bridge 193, Rossiter Road",015ae90e-4a85-4e98-80b0-317df6a287eb
-2.352761190638032,51.376983414251235,2840,KA-121-012,"Bridge 192, Pulteney Road",KA-12114,003,267.04450113,"KA-121-012 Bridge 192, Pulteney Road",3adc777f-3a1b-4142-9e49-a6b1c72219ca
-2.351490074511003,51.37708254877051,2841,KA-121-010,Bridge 191 Wash House Lock Footbridge,KA-12102,046,218.11010836,KA-121-010 Bridge 191 Wash House Lock Footbridge,0cdca70b-e8e0-4573-ad27-50566bb88033
-2.369657968431341,51.381326307217215,2842,KA-122-005,"Bridge 200, Sainsburys",KA-12248,003,348.15117824,"KA-122-005 Bridge 200, Sainsburys",baed330c-93c8-45b1-914f-61e0740655d5
-2.360516670777628,51.377615659893358,2843,KA-122-002,"Bridge 198, Churchill Bridge",KA-12171,003,281.99586576,"KA-122-002 Bridge 198, Churchill Bridge",71de7b20-c4b0-4bd4-9eb3-c32debd6696d
-2.377009054877841,51.384450986933373,2844,KA-123-002,"Bridge 202, Midland Road Destructor Br",KA-12289,003,280.00814244,"KA-123-002 Bridge 202, Midland Road Destructor Br",6297355a-600b-48c7-be47-16d10a53f55e
-2.393858653152425,51.38218977361619,2845,KA-124-003,"Bridge 206, Dolphin Bridge",KA-12444,002,281.68980062,"KA-124-003 Bridge 206, Dolphin Bridge",647709ec-9648-4586-9ddb-1b9e8b365120
-2.38288204976257,51.383099820294824,2846,KA-124-001,"Bridge 204, Weston Railway Bridge",KA-12364,129,226.30948891,"KA-124-001 Bridge 204, Weston Railway Bridge",925ea68b-af94-4df9-a306-a7e8f6244465
-2.408426646488038,51.390360271971517,2847,KA-126-002,"Bridge 208, Newbridge",KA-12593,003,342.67286069,"KA-126-002 Bridge 208, Newbridge",06a34456-2d9e-4725-958b-fb1bcf8452d1
-2.426958696763318,51.391543296164194,2848,KA-127-001,"Bridge 209, Kelston Park (Railway)",KA-12761,129,218.98448794,"KA-127-001 Bridge 209, Kelston Park (Railway)",6fcd1d48-226d-41ba-a7b3-df19a25f3532
-0.968593135233007,51.454131689324029,2849,KA-001-007,"Bridge 1, Duke Street Bridge",KA-00007,003,251.28555995,"KA-001-007 Bridge 1, Duke Street Bridge",9389b9a3-b26a-4b83-ac93-a73db3e7b830
-0.97224357144238,51.452352045599859,2850,KA-001-008,"Bridge 2, Bridge Street",KA-00187,003,225.2187252,"KA-001-008 Bridge 2, Bridge Street",78ebc977-f12d-4f59-aeb7-a12366e861f5
-0.973484902129549,51.448270748623401,2851,KA-001-013,"Bridge 5, Berkeley Avenue",KA-00240,003,341.71596607,"KA-001-013 Bridge 5, Berkeley Avenue",7ec0c7b4-d664-4d25-abe0-cbd696a917d9
-0.975870126838248,51.436467296991083,2852,KA-003-001,"Bridge 8, Rose Kiln Lane",KA-00319,003,194.66468355,"KA-003-001 Bridge 8, Rose Kiln Lane",a07265ed-a341-43b2-b762-86f415038618
-0.999550897215594,51.436654141282141,2853,KA-005-001,Bridge 11 (Railway),KA-00569,129,295.10035679,KA-005-001 Bridge 11 (Railway),52a424ef-70f0-4dec-9f99-2396217268d8
-1.003747775917357,51.436051365431915,2854,KA-005-003,"Bridge 13, Southcote Lock Footbridge",KA-00600,004,353.14323309,"KA-005-003 Bridge 13, Southcote Lock Footbridge",2be97404-a10e-4b80-b74b-3a34667924e0
-1.049066495613676,51.434154907744862,2855,KA-008-002,"Bridge 17, Hisseys Bridge",KA-00943,002,264.66425311,"KA-008-002 Bridge 17, Hisseys Bridge",55dc92f3-8025-4e97-9a2b-2b89d99f509f
-1.089344914676215,51.423254462678983,2856,KA-012-001,"Bridge 21, Sulhamstead Swingbridge",KA-01262,002,243.25509207,"KA-012-001 Bridge 21, Sulhamstead Swingbridge",ef4f99c3-0800-4b1f-983e-a78ff7bec3f5
-1.113027929045177,51.413428847790442,2857,KA-014-003,"Bridge 25A, Ufton Swingbridge",KA-01473,003,245.51508638,"KA-014-003 Bridge 25A, Ufton Swingbridge",310d5cd0-694f-42d4-bae8-8af596fe329d
-1.126176210532722,51.40268208648871,2858,KA-015-003,"Bridge 27, Padworth Swingbridge",KA-01664,003,206.12148061,"KA-015-003 Bridge 27, Padworth Swingbridge",ddcfc2fe-9a11-40fb-8aa3-8df56d701f34
-1.136345227583837,51.400244606647938,2859,KA-016-007,Bridge 28 (Lift Bridge),KA-01726,003,262.32004348,KA-016-007 Bridge 28 (Lift Bridge),3bf1fc1d-20a5-4c8e-ba28-aea6ffb733d8
-1.152547147725102,51.395775366579315,2860,KA-018-001,"Bridge 29, Froud's Bridge",KA-01859,003,233.37631489,"KA-018-001 Bridge 29, Froud's Bridge",8a1b9472-fd32-4e95-8ba5-44c15683c64b
-1.17835321708036,51.394812609404397,2861,KA-020-001,"Bridge 31,Woolhampton Swingbridge",KA-02058,003,300.07030631,"KA-020-001 Bridge 31,Woolhampton Swingbridge",2af8e65b-d74b-424f-8432-fd81c68f722d
-1.186592200150276,51.395265425003153,2862,KA-020-005,"Bridge 33, Oxlease Swingbridge",KA-02116,002,239.32358643,"KA-020-005 Bridge 33, Oxlease Swingbridge",5ca4e01b-17e8-420e-80d3-5f999a1bacd2
-1.209568458681237,51.392790201880175,2863,KA-022-001,"Bridge 36, Midgham Road Bridge",KA-02283,003,272.86325799,"KA-022-001 Bridge 36, Midgham Road Bridge",fe60a9dd-ab12-4a43-bad8-df624db7c2ff
-1.222343788408894,51.393154786370879,2864,KA-023-004,"Bridge 38, Colthrop Footbridge",KA-02384,004,196.91526399,"KA-023-004 Bridge 38, Colthrop Footbridge",cbe60df6-3b74-4d7d-b5da-2b5bb3f81247
-1.243540567905331,51.393335179598424,2865,KA-024-002,"Bridge 42,Thatcham Station Road",KA-02527,003,254.75238133,"KA-024-002 Bridge 42,Thatcham Station Road",de0f55a3-1f66-44b6-a2bc-7902259fc841
-1.252253284726866,51.39221894423828,2866,KA-025-003,"Bridge 44, Monkey Marsh Swingbridge",KA-02585,002,272.70073463,"KA-025-003 Bridge 44, Monkey Marsh Swingbridge",f79b964d-6a1f-4463-8beb-996a29b22076
-1.283979540163673,51.396571235238966,2867,KA-027-002,Bridge 45 (Railway),KA-02818,129,310.30990769,KA-027-002 Bridge 45 (Railway),90b9d2b6-1e05-4929-9613-95eede489408
-1.286553046366015,51.397619202370315,2868,KA-028-001,"Bridge 48, Bulls Swingbridge",KA-02838,002,308.26659833,"KA-028-001 Bridge 48, Bulls Swingbridge",abea9381-5f7f-4ad8-a64a-ba31823bfef4
-1.314772704735057,51.402207908494304,2869,KA-030-003,"Bridge 56, Greenham Mill Footbridge",KA-03052,004,322.80910278,"KA-030-003 Bridge 56, Greenham Mill Footbridge",b1f77aaa-5adf-4a3c-9626-49f2c743a18a
-1.321407351504779,51.402340065580745,2870,KA-030-014,"Bridge 59, American Tank",KA-03130,003,291.78387756,"KA-030-014 Bridge 59, American Tank",c1497cca-48cc-4808-a56b-7644a5172f8d
-1.32423354301677,51.40157727249025,2871,KA-030-015,"Bridge 60, Town Bridge",KA-03138,003,262.31687826,"KA-030-015 Bridge 60, Town Bridge",36e97296-7690-49f0-a6d4-58ad8b38e78e
-1.333035186763239,51.401146600181704,2872,KA-031-006,"Bridge 63, Monkey Bridge",KA-03262,046,270.03238218,"KA-031-006 Bridge 63, Monkey Bridge",4df4842f-c186-4199-849c-3fbcf47e4bfd
-1.347129255006085,51.399454947764731,2873,KA-032-001,"Bridge 64, Guyers Lock Bridge",KA-03295,002,256.2871783,"KA-032-001 Bridge 64, Guyers Lock Bridge",f2552c9f-53df-4d1d-bf37-35b5499cacb4
-1.36890498253345,51.396368540745364,2874,KA-034-001,"Bridge 66, Benham Bridge",KA-03450,002,271.68623738,"KA-034-001 Bridge 66, Benham Bridge",a7196543-5963-4713-8336-7fcc5ee3d5a1
-1.392446072968983,51.400871261799878,2875,KA-035-002,"Bridge 68, Hamstead Road Bridge",KA-03625,003,279.42640202,"KA-035-002 Bridge 68, Hamstead Road Bridge",1cce7ace-715b-440a-9443-a23f97bcfd14
-1.428510279438033,51.40209310315668,2876,KA-038-001,"Bridge 73, Shepherds Bridge",KA-03880,002,266.91257608,"KA-038-001 Bridge 73, Shepherds Bridge",a07f39af-7baa-4daa-b28f-8cd448b88e5f
-1.446612751751189,51.402129923523603,2877,KA-039-003,"Bridge 75, Kintbury Road Bridge",KA-04007,003,263.69382903,"KA-039-003 Bridge 75, Kintbury Road Bridge",975d17e4-5e43-4547-a9e6-08b41c4175e9
-1.451016591514639,51.40184449345152,2878,KA-040-001,"Bridge 76, Vicarage Bridge",KA-04039,002,263.66562567,"KA-040-001 Bridge 76, Vicarage Bridge",379bf095-1cf3-4095-acc3-9a14aa6cf209
-1.46729088532509,51.405811162168604,2879,KA-041-001,"Bridge 79, Brunsden Lock Bridge",KA-04162,002,297.06293862,"KA-041-001 Bridge 79, Brunsden Lock Bridge",b4fd8a01-6a40-4214-8455-d89a5c95045f
-1.47967509666289,51.410389217980864,2880,KA-042-001,"Bridge 81, Wire Lock Bridge",KA-04261,002,282.45423902,"KA-042-001 Bridge 81, Wire Lock Bridge",a88f7249-2952-40f6-a268-e556d0c27a4f
-1.495729722741976,51.411692095298093,2881,KA-043-001,"Bridge 82, Dun Mill Bridge",KA-04273,003,273.76418988,"KA-043-001 Bridge 82, Dun Mill Bridge",05ff8d26-d4d0-41fc-a4ad-1452eb9e1fa7
-1.511750189484068,51.415909726936171,2882,KA-044-001,"Bridge 83, Station Road",KA-04498,002,300.22344079,"KA-044-001 Bridge 83, Station Road",28acfb83-95d9-4aa4-bb90-1998055ef3e3
-1.532364292941124,51.414867607797525,2883,KA-046-002,"Bridge 86, Marsh Swing Bridge",KA-04640,002,263.81125637,"KA-046-002 Bridge 86, Marsh Swing Bridge",33871d88-ead1-40a7-aa1f-3a5a65ab04a4
-1.539133841513697,51.414129436205506,2884,KA-046-003,"Bridge 87, Cobblers Bridge",KA-04691,046,249.04121991,"KA-046-003 Bridge 87, Cobblers Bridge",867bd209-6421-4590-94ca-a2c7495e89f2
-1.544271149418405,51.411562851897308,2885,KA-047-002,"Bridge 89, Picketfield (Railway)",KA-04746,129,214.7931686,"KA-047-002 Bridge 89, Picketfield (Railway)",15c75e26-a6b5-4768-a3e3-de04fbc79316
-1.562070096268415,51.408339281066681,2886,KA-048-001,"Bridge 90, Froxfield Road Bridge",KA-04868,003,240.91909467,"KA-048-001 Bridge 90, Froxfield Road Bridge",f05b402f-6616-4d94-897c-848984491bd0
-1.584042476689575,51.391606854544328,2887,KA-050-006,"Bridge 94, Little Bedwyn Road Bridge",KA-05112,003,207.71229085,"KA-050-006 Bridge 94, Little Bedwyn Road Bridge",37857565-7a27-4cbf-9608-c7d175c9d567
-1.576311801729897,51.3970195047755,2888,KA-050-002,"Bridge 92, Fore Bridge",KA-05029,002,217.38333336,"KA-050-002 Bridge 92, Fore Bridge",059a44ea-f840-46b0-81c0-a5ee50d3f858
-1.598612337622654,51.37852754523464,2889,KA-052-003,"Bridge 95, Great Bedwyn Road Bridge",KA-05291,003,204.32798008,"KA-052-003 Bridge 95, Great Bedwyn Road Bridge",84343cef-98f4-413d-9264-d2144822a225
-1.605146198807423,51.371598606699919,2890,KA-053-007,"Bridge 97, Bedwyn Mill Road Bridge",KA-05381,003,209.82045588,"KA-053-007 Bridge 97, Bedwyn Mill Road Bridge",125a478d-da9b-44e0-8094-4c09d63a695d
-1.611112898756048,51.36745484932748,2891,KA-054-001,"Bridge 98, Beech Grove Lock Bridge",KA-05444,002,225.18654602,"KA-054-001 Bridge 98, Beech Grove Lock Bridge",6a64bf97-2051-4c31-adcf-158303877584
-1.613827042504343,51.366022064860452,2892,KA-054-004,"Bridge 99, New Crown Estate",KA-05466,002,224.41624475,"KA-054-004 Bridge 99, New Crown Estate",b6ba3159-4d91-4ae4-86a8-f791e4989055
-1.631517960653238,51.357574214013567,2893,KA-056-002,"Bridge 101, Freewarren Bridge",KA-05632,003,277.00501636,"KA-056-002 Bridge 101, Freewarren Bridge",7b7e9365-f4ee-436f-926d-ae388d7c51cb
-1.64393460207112,51.359034209898553,2894,KA-057-001,"Bridge 102, Wolfhall Fields Bridge",KA-05717,002,280.56455593,"KA-057-001 Bridge 102, Wolfhall Fields Bridge",d905727e-e247-460c-ac17-d1ec451547da
-1.679118857515414,51.370047067579804,2895,KA-059-001,"Bridge 104, Burbage Wharf Bridge",KA-05999,003,268.27150992,"KA-059-001 Bridge 104, Burbage Wharf Bridge",e03a1a56-43d3-44d2-b4c4-50dc01236989
-1.716429043453246,51.36506132220314,2896,KA-062-005,Bridge 108 Wootton Rivers Lock Bridge,KA-06267,003,224.78092574,KA-062-005 Bridge 108 Wootton Rivers Lock Bridge,43f5d97e-4a55-4158-8f36-9bdd139a30bb
-1.718681931947536,51.36345687792371,2897,KA-062-010,Bridge 109 Wooton Rivers Farm Bridge,KA-06293,002,218.25956371,KA-062-010 Bridge 109 Wooton Rivers Farm Bridge,b394c1bb-8a45-4084-8ea0-532ad090cd61
-1.723172361219507,51.361127695547388,2898,KA-063-001,"Bridge 110, Curret Crown Bridge",KA-06333,002,245.6473885,"KA-063-001 Bridge 110, Curret Crown Bridge",21ee896c-052a-4d9e-a79e-6a34253853a0
-1.750594246445968,51.354291029254114,2899,KA-065-002,"Bridge 112, Milkhouse Water Bridge",KA-06542,003,265.58067686,"KA-065-002 Bridge 112, Milkhouse Water Bridge",f9ef9a22-7872-4243-910b-4978dea9faeb
-1.76513915936699,51.349428591894764,2900,KA-066-003,"Bridge 113, Pains Bridge",KA-06667,002,214.9842084,"KA-066-003 Bridge 113, Pains Bridge",8c7f0d64-f814-49c4-93a3-aed848f423ea
-1.785505835353775,51.352102775004148,2901,KA-068-002,"Bridge 115, Bristow Bridge",KA-06827,003,320.3753442,"KA-068-002 Bridge 115, Bristow Bridge",b53f2974-e4ad-4db2-8905-3c0934984b5a
-1.792462891970558,51.352049048756989,2902,KA-068-004,"Bridge 116, Stowell Park Bridge",KA-06880,046,249.94517989,"KA-068-004 Bridge 116, Stowell Park Bridge",a7fdede7-e2e4-4087-8398-39dbe9ef0b0b
-1.807563791983829,51.348593802729845,2903,KA-069-005,"Bridge 119, Bowdens Bridge",KA-06991,002,240.94590136,"KA-069-005 Bridge 119, Bowdens Bridge",4bed8286-3206-4774-baee-ce5ea375ca0a
-1.816115303432702,51.344322863862253,2904,KA-070-001,"Bridge 120, Ladies Bridge",KA-07069,002,261.93396225,"KA-070-001 Bridge 120, Ladies Bridge",7f4c557e-b10b-412c-8f0b-52bc0dcac45c
-1.846299143441808,51.35076148895984,2905,KA-073-001,Bridge 123 Alton Valley Bridge,KA-07321,002,341.81643346,KA-073-001 Bridge 123 Alton Valley Bridge,267bfb68-6529-4955-9dd3-10a8b1ab2405
-1.867149035796339,51.353260914770175,2906,KA-074-004,"Bridge 125, Stanton Bridge",KA-07483,003,303.27551375,"KA-074-004 Bridge 125, Stanton Bridge",03cf3e8f-bbbb-47f8-bffa-761c9a250471
-1.890764109682024,51.359546017609361,2907,KA-076-004,"Bridge 127, All Cannings Bridge",KA-07677,003,310.19073019,"KA-076-004 Bridge 127, All Cannings Bridge",22dae945-4e66-4fe1-bee4-015eaac0d9b8
-1.91616020590788,51.360280323668391,2908,KA-078-001,Bridge 130 Allington Bridge,KA-07872,002,289.31222862,KA-078-001 Bridge 130 Allington Bridge,962d88ad-d598-4529-b286-5cde340a1f11
-1.924874374406924,51.369929281025463,2909,KA-080-002,"Bridge 132, Horton Townsend Bridge",KA-08025,003,198.70864686,"KA-080-002 Bridge 132, Horton Townsend Bridge",389c7908-345f-4e1e-b0f6-21653d528dea
-1.938866305100287,51.373413208346378,2910,KA-081-001,"Bridge 133, Bishops Canning Swingbridge",KA-08161,002,231.92236619,"KA-081-001 Bridge 133, Bishops Canning Swingbridge",66044d08-8547-49ae-a1a1-bdfc5f46d591
-1.956311721766856,51.363709685817078,2911,KA-083-001,"Bridge 135, Laywoods Bridge",KA-08346,002,259.32820094,"KA-083-001 Bridge 135, Laywoods Bridge",959a0456-6a15-45e3-beca-4849e1b5ee89
-1.975096601082252,51.360056217585772,2912,KA-085-002,"Bridge 136,Coate Road Bridge",KA-08489,003,247.94692893,"KA-085-002 Bridge 136,Coate Road Bridge",7b4e9c40-a7d7-437f-b0ea-ec2ce292b822
-1.994185762242217,51.355374697690934,2913,KA-086-003,"Bridge 140, Cemetery Road",KA-08648,003,272.82982132,"KA-086-003 Bridge 140, Cemetery Road",a9bead34-f1de-4724-bc31-ea4949264a5c
-1.984374636695218,51.3542750687878,2914,KA-086-001,"Bridge 138, London Road",KA-08580,003,279.47897805,"KA-086-001 Bridge 138, London Road",5bccddde-be2d-4252-b422-1e42056b8877
-2.010669133545151,51.352751341502653,2915,KA-087-008,"Bridge 142, Prison Bridge",KA-08769,003,265.51310662,"KA-087-008 Bridge 142, Prison Bridge",6c9c8acc-e35b-4bc9-ac8e-ee4da7c92acf
-2.000999494452062,51.354360191584604,2916,KA-087-003,"Bridge 141, Devizes Town",KA-08698,003,239.26242187,"KA-087-003 Bridge 141, Devizes Town",23a658b3-3a03-421f-883f-e547c28b36a6
-2.034903483529825,51.352203819831487,2917,KA-089-011,"Bridge 144, Upper Foxhangers",KA-08936,003,276.05324778,"KA-089-011 Bridge 144, Upper Foxhangers",603d77ea-5b2b-487d-b741-c6ef6aba7839
-2.050736914741582,51.354198850051169,2918,KA-090-007,Bridge 146 Lower Foxhangers Lock Bridge,KA-09049,002,258.03221712,KA-090-007 Bridge 146 Lower Foxhangers Lock Bridge,a45aade6-64b4-48d8-8d68-631ce6aa5fbf
-2.065501503478775,51.356211877054434,2919,KA-091-004,"Bridge 148, Martinslade",KA-09157,003,259.59748019,"KA-091-004 Bridge 148, Martinslade",3b4eea9d-9e43-4f17-bbe5-86d2dd913607
-2.071618097214079,51.355467237485989,2920,KA-092-001,"Bridge 149, Scotts Wharf Bridge",KA-09198,003,256.03292709,"KA-092-001 Bridge 149, Scotts Wharf Bridge",ae13c6ac-6f4f-47db-bf60-ce268e0cdf99
-2.091889920988308,51.352238770056992,2921,KA-093-007,"Bridge 152, Seend Upper Lock Bridge",KA-09342,003,250.96196379,"KA-093-007 Bridge 152, Seend Upper Lock Bridge",db3a0374-3f7a-4f35-b59c-e5e381c8314b
-2.098378702915467,51.351456013712514,2922,KA-094-002,"Bridge 153, Seend Wharf",KA-09389,003,274.4255645,"KA-094-002 Bridge 153, Seend Wharf",7accddde-32fd-4d0a-9660-337c3d13438b
-2.101203838907001,51.351582526973409,2923,KA-094-004,Bridge 154 Seend Lock 18 Bridge,KA-09409,002,274.14629531,KA-094-004 Bridge 154 Seend Lock 18 Bridge,f6852d93-1a57-4083-8a4b-8045c26174fc
-2.134843892174535,51.346860727791551,2924,KA-096-005,"Bridge 158, Newton Swingbridge",KA-09664,002,270.90329165,"KA-096-005 Bridge 158, Newton Swingbridge",0f8814c6-013a-4be6-b013-ae953dc7e75f
-2.123344287829614,51.346902054964247,2925,KA-096-001,"Bridge 156, Seend Park Bridge",KA-09584,002,265.95982169,"KA-096-001 Bridge 156, Seend Park Bridge",8e7ad337-8c72-4599-966c-3f3da26920cc
-2.145492473941794,51.348181054600282,2926,KA-097-004,Bridge 159 (Footbridge),KA-09736,046,281.02948975,KA-097-004 Bridge 159 (Footbridge),f9f97eac-f77e-4383-84ca-8a7aaf2a9646
-2.45904785899847,51.41673313882734,2927,KA-133-001,"Bridge 211, Bitton Railway Bridge",KA-13343,129,248.97653435,"KA-133-001 Bridge 211, Bitton Railway Bridge",9b2501f2-03d3-4eea-91ba-5b6374104af0
-2.491234103064707,51.419136741479981,2928,KA-136-007,Bridge 214 (A4175),KA-13628,003,323.1826754,KA-136-007 Bridge 214 (A4175),3026af92-546e-4af8-9407-732eb0827365
-1.224928637638352,51.393664690938387,2935,KA-023-005,"Bridge 40, Colthrop Bailey Bridge", ,077,269.53657938,"KA-023-005 Bridge 40, Colthrop Bailey Bridge",b04a8fd8-1154-4b35-a2f2-141575a34e4f
-0.977941172962856,51.435087634980569,2960,KA-003-006,"Bridge 8A, A33 Road Bridge, Reading", ,003,245.55823958,"KA-003-006 Bridge 8A, A33 Road Bridge, Reading",2d26876c-f8bb-4573-8aca-cd0d8e891b45
-1.304546536865535,51.402297353767565,2961,KA-029-002,"Bridge 52, Bone Mill Sluices Footbridge",KA-02959,046,288.65960485,"KA-029-002 Bridge 52, Bone Mill Sluices Footbridge",79b3c016-3f45-475e-8d5a-9ab1da8fffd5
-2.010575591974627,51.352748608216402,2962,KA-087-021,"Bridge 142A, Prison Bridge Footbridge", ,046,262.03587334,"KA-087-021 Bridge 142A, Prison Bridge Footbridge",6742adcc-9f45-4e4b-b488-71efb3124678
-2.460566611004929,51.416772190587842,2963,KA-133-003,"Bridge 211A, Ferris Bridge", ,046,269.59121306,"KA-133-003 Bridge 211A, Ferris Bridge",fe252433-2d7a-4564-b528-bd84e908a1e6
-1.074844144069965,51.425982325548176,3046,KA-011-001,"Bridge 20, Sulhamstead Footbridge",KA-01163,004,322.10536016,"KA-011-001 Bridge 20, Sulhamstead Footbridge",63d833f3-f5f7-45c5-b12e-f8be1a2bf6bc
-2.483818845465885,51.421184060550978,3155,KA-135-004,"Pipe Bridge, Broad Mead", ,077,234.84367432,"KA-135-004 Pipe Bridge, Broad Mead",f2c8be0c-a831-48a6-8be1-6c429923b303
-1.23187401974969,51.393888515958388,3156,KA-024-007,"Pipe Bridge, Thatcham", ,077,275.79499403,"KA-024-007 Pipe Bridge, Thatcham",25d72f6d-b4ee-4ba8-8aff-fb0f91e7fec0
-2.37950159053374,51.384590894448174,3157,KA-123-015,"Pipe Bridge, Gas Works", ,077,267.3829896,"KA-123-015 Pipe Bridge, Gas Works",88b76943-0bcf-45b6-ae0d-2b5a4019a17e
-1.802898212791019,51.349668836602767,3915,KA-069-003,"Bridge 118, Wilcot Swingbridge", ,117,250.36019039,"KA-069-003 Bridge 118, Wilcot Swingbridge",9bdf589d-8fd4-410c-a059-ca9ceb0fb09b
-1.827077249012085,51.345444771984901,3916,KA-071-002,Bridge 121 (Abutments Only), ,117,264.73567521,KA-071-002 Bridge 121 (Abutments Only),ec3424cf-3315-4158-a721-4e89267b77a2
-2.125333660026919,51.346823810764242,3917,KA-096-002,"Bridge 157, Melksham Park (Removed)", ,117,267.26584128,"KA-096-002 Bridge 157, Melksham Park (Removed)",babf2ec7-2c9a-40d7-be12-c2d6ad4076a3
-2.187387641326823,51.344031163386298,3918,KA-100-004,Bridge 164 (Removed), ,117,256.88671841,KA-100-004 Bridge 164 (Removed),fefce0cd-f04e-464e-99c0-b005814d6c4a
-1.225179426604428,51.393660410821198,3919,KA-023-006,"Abutments Bridge 40, Colthrop Old Swingb", ,117,269.53657938,"KA-023-006 Abutments Bridge 40, Colthrop Old Swingb",269da80b-ab31-4677-82d3-74dc3e93e493
